,File,Task,Category,Class,Text,Datatype
0,g0pA_taska.txt,a,0,0,inheritance is a basic concept of object oriented programming where the basic idea is to create new classes that add extra detail to existing classes this is done by allowing the new classes to reuse the methods and variables of the existing classes and new methods and classes are added to specialise the new class inheritance models the is kind of relationship between entities or objects  for example postgraduates and undergraduates are both kinds of student this kind of relationship can be visualised as a tree structure where student would be the more general root node and both postgraduate and undergraduate would be more specialised extensions of the student node or the child nodes  in this relationship student would be known as the superclass or parent class whereas  postgraduate would be known as the subclass or child class because the postgraduate class extends the student class  inheritance can occur on several layers where if visualised would display a larger tree structure for example we could further extend the postgraduate node by adding two extra extended classes to it called  msc student and phd student as both these types of student are kinds of postgraduate student this would mean that both the msc student and phd student classes would inherit methods and variables from both the postgraduate and student classes  ,train
1,g0pA_taskb.txt,b,3,1,pagerank is a link analysis algorithm used by the google internet search engine that assigns a numerical weighting to each element of a hyperlinked set of documents such as the world wide web with the purpose of measuring its relative importance within the set google assigns a numeric weighting from 0 10 for each webpage on the internet this pagerank denotes a site s importance in the eyes of google  the pagerank is derived from a theoretical probability value on a logarithmic scale like the richter scale the pagerank of a particular page is roughly based upon the quantity of inbound links as well as the pagerank of the pages providing the links the algorithm may be applied to any collection of entities with reciprocal quotations and references the numerical weight that it assigns to any given element e is also called the pagerank of e and denoted by pr e  it is known that other factors e g relevance of search words on the page and actual visits to the page reported by the google toolbar also influence the pagerank  other link based ranking algorithms for web pages include the hits algorithm invented by jon kleinberg used by teoma and now ask com  the ibm clever project and the trustrank algorithm  ,test
2,g0pA_taskc.txt,c,2,1,the vector space model also called term vector model is an algebraic model used to represent text documents as well as any objects in general as vectors of identifiers it is used in information retrieval and was first used in the smart information retrieval system  a document is represented as a vector and each dimension corresponds to a separate term if a term appears in the document then its value in the vector is non zero many different ways of calculating these values also known as term weights have been developed one of the best known methods is called tf idf weighting  the definition of term depends on the application but generally terms are single words keywords or longer phrases if the words are chosen to be the terms the dimensionality of the vector is the number of words in the vocabulary which is the number of distinct words occurring in the corpus  the vector space model has several disadvantages firstly long documents are represented badly because they have poor similarity values secondly search keywords must accurately match document terms and substrings of words might result in a false positive match  thirdly documents with similar context but different term vocabulary will not be associated resulting in a false negative match  finally the order in which the terms appear in the document is lost in the vector space representation  ,train
3,g0pA_taskd.txt,d,1,1,bayes theorem was names after rev thomas bayes and is a method used in probability theory this theorem aims to relate the conditional and marginal probabilities of two random events occuring and given various observations is frequently used to compute subsequent probabilities bayes theorem is also often known as bayes law  an example of where bayes theorem may be used is in the following extract  suppose there exists a school with forty percent females and sixty percent males as students the female students can only wear skirts or trousers in equal numbers whereas all the male students can only wear trousers an observer randomly sees a student from a distance and all he can see is that this student is wearing trousers what is the probability this student is female  there is a debate amongst frequentists and bayesians about how bayes theorem plays a major role around the beginnings of statistical mathematics frequentist and bayesian explanations do not agree about the ways in which probabilities should be assigned this is primarily because bayesians assign probabilities in terms of beliefs whereas frequentists assign probabilities to random events according to the frequencies of them occurring ,train
4,g0pA_taske.txt,e,0,0,dynamic programming is an algorithm design technique used for optimisation problems such as minimising or maximising like divide and conquer dynamic programming solves problems by combining solutions to sub problems however unlike divide and conquer sub problems are not always independent as sub problems may share sub sub problems but solution to one sub problem may not affect the solutions to other sub problems of the same problem  there are four steps in dynamic programming  1 characterise structure of an optimal solution  2 define value of optimal solution recursively  3 compute optimal solution values either top down with caching or bottom up in a table  4 construct an optimal solution from computed values  an example of the type of problem for which dynamic programming may be used is given two sequences x x1 xm and y y1 yn find a common subsequence whose length is maximum  dynamic programming reduces computation by solving sub problems in a bottom up fashion and by storing solution to a sub problem the first time it is solved also looking up the solution when a sub problem is encountered again helps reduce computation however the key in dynamic programming is to determine the structure of optimal solutions  ,train
5,g0pB_taska.txt,a,0,0,inheritance is a basic concept in object oriented programming it models the reuse of existing class code in new classes  the is a kind of relationship  for example a house is a kind of building similarly an office block is a kind of building both house and office block will inherit certain characteristics from buildings but also have their own personal characteristics  a house may have a number of occupants whereas an office block will have a number of offices however these personal characteristics don t apply to all types of buildings  in this example the building would be considered the superclass  it contains general characteristics for other objects to inherit  and the house and office block are both subclasses  they are specific types and specialise the characteristics of the superclass  java allows object inheritance when one class inherits from another class all the public variables and methods are available to the subclass  public class shape private color colour public void setcolour color newcolour  colour  newcolour  public class circle extends shape private int radius public void setradius int newradius  radius  newradius  in this example the circle class is a subclass of the shape class the shape class provides a public setcolour method which will be available to the circle class and other subclasses of shape however the private variable colour as defined in the shape class will not be available for direct manipulation by the circle class because it is not inherited the circle class specialises the shape class which means that setradius is available to the circle class and all subclasses of circle but it isn t available to the superclass shape  ,train
6,g0pB_taskb.txt,b,0,0,pagerank pr refers to both the concept and the google system used for ranking the importance of pages on the web the pagerank of a site refers to its importance or value on the web in relation to the rest of the sites that have been pagerank ed  the algorithm basically works like a popularity contest  if your site is linked to by popular websites then your site is considered more popular however the pr doesn t just apply to the website as a whole  different pages within a website get given different prs dependent on a number of factors inbound links backlinks  how many pages other than the ones on your website link to this particular page  outbound links forward links  how many external pages the particular page links to  dangling links  how many pages with no external links are linked to from a particular page  deep links  how many links that are not the home page are linked to from a particular page pr tries to emulate a random surfer  the algorithm includes a dampening factor which is the probability that a random surfer will get bored and go and visit a new page  by default this is 0 85 a variation on this is the intentional surfer  where the importance of a page is based on the actual visits to sites by users this method is used in the google toolbar which reports back actual site visits to google ,train
7,g0pB_taskc.txt,c,3,1,vector space model is an algebraic model for representing text documents and in general any objects as vectors of identifiers such as for example index terms its first use was in the smart information retrieval system it is used in information filtering information retrieval indexing and relevancy rankings  a document is represented as a vector and each dimension corresponds to a separate term if a term occurs in the document its value in the vector is non zero several different ways of computing these values also known as term weights have been developed the definition of term depends on the application typically terms are single words keywords or longer phrases if the words are chosen to be the terms the dimensionality of the vector is the number of words in the vocabulary the number of distinct words occurring in the corpus  one of the best known schemes is tf idf weighting proposed by salton wong and yang in the classic vector space model the term specific weights in the document vectors are products of local and global parameters  relevancy rankings of documents in a keyword search can be calculated using the assumptions of document similarities theory by comparing the deviation of angles between each document vector and the original query vector where the query is represented as same kind of vector as the documents  the vector space model has the following limitations   search keywords must precisely match document terms word substrings might result in a false positive match   semantic sensitivity documents with similar context but different term vocabulary won t be associated resulting in a false negative match   the order in which the terms appear in the document is lost in the vector space representation  long documents are poorly represented because they have poor similarity values a small scalar product and a large dimensionality  ,test
8,g0pB_taskd.txt,d,2,1,bayes theorem relates the conditional and marginal probabilities of two random events for example a person may be seen to have certain medical symptoms bayes theorem can then be used to compute the probability that given that observation the proposed diagnosis is the right one  bayes theorem forms a relationship between the probabilities xcof events a and b intuitively bayes theorem in this form describes the way in which one s recognition of a are updated by having observed b  p a  b  p b  a p a  p b  p a b is the conditional probability of a given b it is derived from or depends upon the specified value of b therefore it is also known as the posterior probability  p b a is the conditional probability of b given a  p a is the prior probability a it doesn t take into account any information about b so it is prior  p b is the prior or marginal probability of b and acts to normalise the probability  to derive the theorem we begin with the definition of conditional probability by combining and re arranging these two equations for a and b we get a the lemma called product rule for probabilities provided that p b is not a zero dividing both sides by p b renders us with bayes theorem ,train
9,g0pB_taske.txt,e,1,1,dynamic programming is a method for solving mathematical programming problems that exhibit the properties of overlapping subproblems and optimal substructure this is a much quicker method than other more naive methods the word programming in dynamic programming relates optimization which is commonly referred to as mathematical programming richard bellman originally coined the term in the 1940s to describe a method for solving problems where one needs to find the best decisions one after another and by 1953 he refined his method to the current modern meaning  optimal substructure means that by splitting the programming into optimal solutions of subproblems these can then be used to find the optimal solutions of the overall problem one example is the computing of the shortest path to a goal from a vertex in a graph first compute the shortest path to the goal from all adjacent vertices then using this the best overall path can be found thereby demonstrating the dynamic programming principle this general three step process can be used to solve a problem  1 break up the problem different smaller subproblems  2 recursively use this three step process to compute the optimal path in the subproblem  3 construct an optimal solution using the computed optimal subproblems for the original problem  this process continues recursively working over the subproblems by dividing them into sub subproblems and so forth until a simple case is reached one that is easily solvable  ,test
10,g0pC_taska.txt,a,1,1,inheritance in object oriented programming is where a new class is formed using classes which have allready been defined these classes have have some of the behavior and attributes which where existent in the classes that it inherited from the peropos of inheritance in object oriented programming is to minimize the reuse of existing code without modification  inheritance allowes classes to be categorized similer to the way humans catagorize it also provides a way to generalize du to the is a relationship between classes for example a cow is a generalization of animal similarly so are pigs  cheaters  defeining classes in this way allows us to define attributes and behaviours which are commen to all animals in one class so cheaters would natuarly inheart properities commen to all animals  the advantage of inheritance is that classes which would otherwise have alot of similar code  can instead shair the same code thus reducing the complexity of the program inheritance therefore can also be refered to as polymorphism which is where many pieces of code are controled by shared control code  inheritance can be accomplished by overriding methods in its ancestor or by adding new methods  ,test
11,g0pC_taskb.txt,b,0,0,there are many attributes which infulance the ranking of a page in google the main too are the content key words and links the content of a webpage generaly gives a good idea about what the page is about however there are some flaws in this for example for along time ibm web page didnt contain the word computer dispite it being strongly associated with them to solve this problem web pages can assign itself key words which contribute to its ranking in searches  the second method is the use of links the more sights which links to your web page and the higher the rank of those sights the higher the rank of your site will be this method is used as links are seen as an adoursment of a sight  with both these methods of ranking web pages there are issues key words can be compromised by sparming google solves this problem by penolizing such activity useing links to rank a page also has its problems for example link farms which have recursive links for the sole perpos of raising there ranking google takels this by useing a dampaning algorthem  ,train
12,g0pC_taskc.txt,c,0,0,the vector space model is where each document is viewed as a bag of words where there order has little significance each document is a vector where each word is a dimension the vector is then constucted of the frequency of eacher word dimension  the draw back to this approach is that the length of the document as an inpact on the vector to compensate for this you can comput the cosine similarity between your two comparism documents this will find the difference between the two vectors the dot product  ignoreing the size of them  inorder to query the search space the query can also be represented as a vector then you find the document whos vector has the greatest cosine similarities to your query there are a number of wighting sceems which can be incoperated inorder to increase the accuracy of the vextors  there are some drawbacks with this approach computing the cosine similarities between each vector can be expensive as the number of dimensions can be in the thousands to tackle this problem you can use inverted indexs and then a series heuristics inorder to inprove on this to top ,train
13,g0pC_taskd.txt,d,3,1,in probability theory bayes theorem often called bayes law after rev thomas bayes relates the conditional and marginal probabilities of two random events it is used to compute posterior probabilities given observations for example a person may be observed to have certain symptoms bayes theorem can be used to compute the probability that a proposed diagnosis is correct  as a formal theorem bayes theorem is valid in all common interpretations of probability however it plays a central role in the debate around the foundations of statistics frequentist and bayesian interpretations disagree about the ways in which probabilities should be assigned to each other bayesians describe probabilities in terms of beliefs and degrees of uncertainty while frequentists assign probabilities to random events according to their frequencies of occurrence or to subsets of populations as proportions of the whole the articles on bayesian probability and frequentist probability discuss these debates in detail ,train
14,g0pC_taske.txt,e,2,1,in computer science dynamic programming is a way of solving problems consist of overlapping subproblems and optimal substructure the method is more effiecent than naive methods  the term was first coined in the 1940s by richard bellman to describe the process of solving problems where you need to find the best decisions consecutavly in 1953 he had refined this to the modern meaning the field was founded as a systems analysis and engineering topic that is recognized by the ieee bellman equation is a central result of dynamic programming which restates an optimization problem in recursive form  dynamic programming has little connection to computer programming at all and instead comes from the term mathematical programming a synonym for optimization thus the program is the best plan for action that is produced for instance a events schedule at an exhibition is sometimes called a program programming means finding a plan of action  ,train
15,g0pD_taska.txt,a,3,1,inheritance in object oriented programming is a way to form new classes using classes that have already been defined the new classes known as derived classes inherit attributes and behaviour of the existing classes which are referred to as base classes with little or no modification it is intended to help reuse existing code it is typically accomplished either by overriding one or more methods exposed by ancestor or by adding new methods to those exposed by an ancestor inheritance is also sometimes called generalization because there is a relationships represent a hierarchy between classes of objects a fruit  for instance is a generalization of orange  mango  apples and many others one can consider fruit to be an abstraction of apple orange etc since apples are fruit i e  an apple is a fruit  conversely apples may naturally inherit all the properties common to all fruit such as being a fleshy container for the seed of a plant  an advantage of inheritance is that modules with sufficiently similar interfaces can share a lot of code reducing the complexity of the program  ,train
